YEAR,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,CATEGORY
2023,24.1875,113.9,98.24375,0.824375,52.2375,48.98125,16.4375,19.025,30.21875,28.75,31.0875,30.60625,52.40625,49.0,34.65,32.6125,66.75625,2.0125,Round 32
2024,23.5,113.8375,98.6625,0.8256,52.725,49.00625,15.85625,17.46875,30.83125,27.4125,34.2875,31.525,52.43125,48.89375,35.39375,32.775,66.50625,1.1099999999999999,Round 32
2013,23.03125,106.496875,95.178125,0.7519375,50.31875,46.375,18.825,19.7375,32.6875,30.1875,37.925,33.065625,49.378125,44.878125,34.81875,32.94375,65.659375,-0.4156250000000001,Round 64
2014,22.03125,109.121875,98.965625,0.725478125,50.684375,47.66875,17.59375,18.875,31.953125,30.878125,43.284375,38.853125,49.675,47.053125,35.10625,32.615625,66.915625,-0.746875,Round 64
2015,21.875,107.996875,98.771875,0.70676875,51.01875,47.659375,18.36875,18.81875,32.328125,30.109375,38.11875,34.225,49.609375,46.075,35.8375,33.765625,65.075,-1.2374999999999998,Round 64
2016,21.84375,108.875,98.640625,0.719975,50.90625,48.1875,17.5,18.296875,32.39375,28.3375,38.29375,35.259375,49.734375,46.946875,35.490625,33.834375,69.078125,-0.846875,Round 64
2017,23.5625,109.865625,100.134375,0.71038125,52.859375,49.228125,17.93125,18.790625000000002,29.853125000000002,28.9875,36.625,33.203125,51.4875,48.209375,36.65,34.028125,69.290625,-1.1375000000000002,Round 64
2018,23.375,109.975,99.453125,0.734553125,53.1125,49.23125,17.215625,18.628125,28.984375,27.246875,34.7875,32.54375,52.21875,48.221875,36.359375,33.915625,69.525,-0.6625,Round 64
2019,23.6875,108.6875,98.60625,0.72480625,52.675,48.803125,17.509375,18.875,28.875,27.178125,34.115625,31.484375,52.028125,47.865625,35.846875,33.50625,68.45,-0.7031250000000001,Round 64
2021,18.0,107.70625,96.171875,0.750534375,52.015625,47.525,18.34375,19.03125,30.259375,26.109375,31.675,31.20625,51.828125,47.284375,34.821875,31.953125,67.509375,0.09687499999999995,Round 64
2022,23.59375,107.99375,97.95,0.724509375,52.103125,48.184375,17.615625,18.60625,29.559375,26.6875,31.7125,28.75,51.578125,47.8,35.409375,32.66875,66.865625,-0.48437499999999994,Round 64
2023,24.71875,110.465625,99.078125,0.754371875,52.196875,48.890625,17.118750000000002,19.128125,29.91875,27.575,33.721875,30.425,51.9125,48.35,35.175,33.21875,67.415625,0.27187500000000003,Round 64
2024,23.84375,111.175,100.91875,0.708284375,52.35625,48.746875,16.228125,17.396875,30.934375,27.678125,34.034375,31.925,52.396875,48.696875,35.003125,32.596875,67.4625,-1.3196875,Round 64
